School Type,School District or Name,MMR Vaccination Rate,Age Group,metric,Size_10,Size_25,Size_100,Size_250,Size_500,Size_750,Size_1000,Size_1500,Size_2500,Size_500,average_school_size,metric_average_school_size
Public ISD,AGUA DULCE ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,210,1
Public ISD,ALAMO HEIGHTS ISD,98.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,949,
Public ISD,ALAMO HEIGHTS ISD,98.6,Kindergarten,total_infected_mean,1,1,1.141,1.1965,1.216,1.268,1.229,1.239,1.246,1.257,949,1.236956
Public ISD,ALBA-GOLDEN ISD,87,Kindergarten,probability_exceeding_10_total_cases,0,0,0.315,0.4895,0.51,0.5095,0.5045,0.4965,0.522,0.5185,285,0.49237
Public ISD,ALBA-GOLDEN ISD,87,Kindergarten,total_infected_mean,1.589,2.521,5.753,13.377,25.351,37.998,49.4805,73.32,128.393,254.873,285,15.05336
Public ISD,ALEDO ISD,92.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.142,0.2185,0.219,0.226,0.23,0.2285,0.243,702,0.218904
Public ISD,ALEDO ISD,92.6,Kindergarten,total_infected_mean,1,1.385,2.719,3.9135,5.7,6.443,7.659,9.175,11.5535,17.0495,702,6.300344
Public ISD,ALICE ISD,97.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0.0005,0.001,0.001,0.004,0.0045,716,
Public ISD,ALICE ISD,97.6,Kindergarten,total_infected_mean,1,1,1.316,1.336,1.429,1.4965,1.4835,1.501,1.5385,1.606,716,1.48732
Public ISD,ALIEF ISD,83.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0.5435,0.5955,0.612,0.6025,0.59,0.632,0.612,0.631,839,0.59805
Public ISD,ALIEF ISD,83.6,Kindergarten,total_infected_mean,1.6225,3.3655,9.3255,21.5805,44.142,65.4965,85.2505,137.3765,220.79,457.2195,839,72.528924
Public ISD,ALIEF MONTESSORI COMMUNITY SCHOOL,83.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0.5495,0.585,0.624,0.636,0.6335,0.6185,0.6315,0.6225,367,0.603252
Public ISD,ALIEF MONTESSORI COMMUNITY SCHOOL,83.3,Kindergarten,total_infected_mean,1.621,3.3305,9.3105,21.8545,46.6405,71.1955,93.742,139.0745,234.7905,463.0785,367,33.454348
Public ISD,ALLEN ISD,94.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0565,0.0955,0.119,0.1225,0.126,0.1355,0.1485,898,0.121072
Public ISD,ALLEN ISD,94.2,Kindergarten,total_infected_mean,1,1.3775,2.0225,2.897,3.384,3.839,4.0965,4.1435,4.836,5.921,898,3.99144
Public ISD,ALPINE ISD,95.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0035,0.0205,0.0295,0.033,0.0395,0.039,0.0435,301,0.006968
Public ISD,ALPINE ISD,95.9,Kindergarten,total_infected_mean,1,1.392,1.673,1.956,2.1465,2.2725,2.313,2.4795,2.455,2.5615,301,1.994862
Public ISD,ALTO ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,168,
Public ISD,ALTO ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,168,1
Public ISD,ALVARADO ISD,96.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.007,0.012,0.0125,0.02,0.0205,0.0215,631,0.00962
Public ISD,ALVARADO ISD,96.6,Kindergarten,total_infected_mean,1,1,1.47,1.688,1.766,1.879,1.8615,1.953,2.047,2.0435,631,1.825212
Public ISD,ALVIN ISD,97.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0.0015,0.005,0.005,0.0085,0.008,822,0.002508
Public ISD,ALVIN ISD,97.2,Kindergarten,total_infected_mean,1,1,1.323,1.433,1.591,1.623,1.6335,1.6565,1.713,1.7,822,1.626024
Public ISD,ALVORD ISD,79.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0.6675,0.6885,0.691,0.702,0.6955,0.7135,0.702,0.693,281,0.68881
Public ISD,ALVORD ISD,79.2,Kindergarten,total_infected_mean,2.407,4.2965,13.6365,33.6955,68.0885,103.972,137.396,211.0645,346.059,684.375,281,37.960232
Public ISD,AMARILLO ISD,96.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.0035,0.008,0.01,0.0145,0.015,0.014,533,0.004094
Public ISD,AMARILLO ISD,96.8,Kindergarten,total_infected_mean,1,1,1.492,1.5395,1.757,1.8725,1.818,1.9025,1.8745,1.841,533,1.772246
Public ISD,AMHERST ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,102,
Public ISD,AMHERST ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,102,1
Public ISD,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHT,94.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0505,0.0925,0.122,0.1195,0.1335,0.129,0.1375,,0.0925
Public ISD,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHT,94.1,Kindergarten,total_infected_mean,1,1.3795,1.9985,2.8065,3.3825,3.94,4.076,4.5365,4.9335,5.7785,,3.3825
Public ISD,ANAHUAC ISD,96.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0015,0.0145,0.018,0.0175,0.0245,0.0325,0.035,388,0.008676
Public ISD,ANAHUAC ISD,96.3,Kindergarten,total_infected_mean,1,1,1.48,1.7865,1.9865,2.0465,1.926,2.2145,2.1935,2.318,388,1.8969
Public ISD,ANDERSON-SHIRO CISD,95.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.011,0.0365,0.056,0.0515,0.068,0.0745,0.0795,489,0.035378
Public ISD,ANDERSON-SHIRO CISD,95.3,Kindergarten,total_infected_mean,1,1.373,1.703,2.107,2.439,2.65,2.6515,2.9375,3.173,3.445,489,2.424392
Public ISD,ANDREWS ISD,97.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0.001,0.002,0.002,0.003,0.0025,701,
Public ISD,ANDREWS ISD,97.7,Kindergarten,total_infected_mean,1,1,1.295,1.375,1.4105,1.517,1.479,1.538,1.495,1.4785,701,1.496126
Public ISD,ANGLETON ISD,97.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.002,0.005,0.0075,0.0075,0.0095,0.011,707,0.004484
Public ISD,ANGLETON ISD,97.1,Kindergarten,total_infected_mean,1,1,1.284,1.62,1.6245,1.6765,1.689,1.722,1.7485,1.764,707,1.667556
Public ISD,ANNA ISD,93.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.068,0.1245,0.134,0.161,0.1555,0.175,0.1955,754,0.134432
Public ISD,ANNA ISD,93.6,Kindergarten,total_infected_mean,1,1.3855,2.377,3.056,3.8765,4.2015,5.132,5.5405,7.2115,8.9595,754,4.216388
Public ISD,ANSON ISD,93.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.06,0.106,0.1415,0.1405,0.147,0.156,0.1595,241,
Public ISD,ANSON ISD,93.8,Kindergarten,total_infected_mean,1,1.3765,2.35,3.0155,3.6365,4.321,4.5345,5.107,6.0885,6.7705,241,2.97557
Public ISD,ANTHONY ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,241,
Public ISD,ANTHONY ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,241,1
Public ISD,ANTON ISD,90,Kindergarten,probability_exceeding_10_total_cases,0,0,0.058,0.2995,0.342,0.3515,0.3795,0.3885,0.388,0.3885,175,0.17875
Public ISD,ANTON ISD,90,Kindergarten,total_infected_mean,1,1.879,3.6575,6.821,11.375,15.5895,21.199,30.666,48.424,92.614,175,5.23925
Public ISD,APPLE SPRINGS ISD,90.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0.05,0.2775,0.3095,0.324,0.332,0.3335,0.3195,0.3445,89,
Public ISD,APPLE SPRINGS ISD,90.9,Kindergarten,total_infected_mean,1,1.905,3.825,6.0375,9.136,12.508,14.921,19.8895,30.72,57.542,89,3.5434
Public ISD,AQUILLA ISD,47.6,Kindergarten,probability_exceeding_10_total_cases,0,0.9,0.9035,0.898,0.9055,0.8955,0.898,0.888,0.8965,0.8925,332,0.90046
Public ISD,AQUILLA ISD,47.6,Kindergarten,total_infected_mean,5.3915,12.7,47.969,117.699,237.27,351.917,470.506,697.8765,1174.1525,2337.7255,332,156.918288
Public ISD,ARCHER CITY ISD,94.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0505,0.0925,0.122,0.1195,0.1335,0.129,0.1375,242,
Public ISD,ARCHER CITY ISD,94.1,Kindergarten,total_infected_mean,1,1.3795,1.9985,2.8065,3.3825,3.94,4.076,4.5365,4.9335,5.7785,242,2.763406667
Public ISD,ARGYLE ISD,94.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0565,0.0955,0.119,0.1225,0.126,0.1355,0.1485,806,0.119784
Public ISD,ARGYLE ISD,94.2,Kindergarten,total_infected_mean,1,1.3775,2.0225,2.897,3.384,3.839,4.0965,4.1435,4.836,5.921,806,3.89668
Public ISD,ARISTOI CLASSICAL ACADEMY,88.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0.219,0.3865,0.4295,0.414,0.4465,0.423,0.426,0.455,535,0.42733
Public ISD,ARISTOI CLASSICAL ACADEMY,88.8,Kindergarten,total_infected_mean,1.609,1.905,4.8735,9.049,16.6045,22.7125,32.0015,44.1485,75.4465,159.94,535,17.45962
Public ISD,ARLINGTON CLASSICS ACADEMY,93,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1115,0.164,0.1965,0.1855,0.1965,0.2075,0.204,502,0.16426
Public ISD,ARLINGTON CLASSICS ACADEMY,93,Kindergarten,total_infected_mean,1,1.385,2.3695,3.6005,4.6535,5.831,6.3265,7.3235,8.96,11.303,502,4.66292
Public ISD,ARLINGTON ISD,94.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0565,0.0955,0.119,0.1225,0.126,0.1355,0.1485,725,0.11665
Public ISD,ARLINGTON ISD,94.2,Kindergarten,total_infected_mean,1,1.3775,2.0225,2.897,3.384,3.839,4.0965,4.1435,4.836,5.921,725,3.7935
Public ISD,ARP ISD,94.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.028,0.0835,0.106,0.1075,0.12,0.1165,0.1245,336,0.047092
Public ISD,ARP ISD,94.4,Kindergarten,total_infected_mean,1,1.3965,1.9825,2.523,3.0385,3.549,3.722,4.2335,4.5625,4.94,336,2.700332
Public ISD,ARROW ACADEMY,97.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.002,0.005,0.0075,0.0075,0.0095,0.011,151,
Public ISD,ARROW ACADEMY,97.1,Kindergarten,total_infected_mean,1,1,1.284,1.62,1.6245,1.6765,1.689,1.722,1.7485,1.764,151,1.39824
Public ISD,ATHENS ISD,97.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.002,0.005,0.0075,0.0075,0.0095,0.011,605,0.00326
Public ISD,ATHENS ISD,97.1,Kindergarten,total_infected_mean,1,1,1.284,1.62,1.6245,1.6765,1.689,1.722,1.7485,1.764,605,1.64634
Public ISD,ATLANTA ISD,93.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.085,0.1325,0.166,0.1625,0.173,0.1775,0.1805,482,0.12908
Public ISD,ATLANTA ISD,93.4,Kindergarten,total_infected_mean,1,1.3845,2.34,3.2555,4.056,5.043,5.2555,6.1285,7.0995,8.595,482,3.998364
Public ISD,AUBREY ISD,90.5,Kindergarten,probability_exceeding_10_total_cases,0,0,0.048,0.3,0.3485,0.365,0.3435,0.354,0.341,0.342,603,0.355298
Public ISD,AUBREY ISD,90.5,Kindergarten,total_infected_mean,1,1.897,3.5605,6.498,10.7845,15.205,17.0495,25.2335,36.8955,69.323,603,12.605746
Public ISD,AUSTIN ACHIEVE PUBLIC SCHOOLS,95.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0105,0.0335,0.0495,0.055,0.0655,0.0615,0.065,542,0.036188
Public ISD,AUSTIN ACHIEVE PUBLIC SCHOOLS,95.4,Kindergarten,total_infected_mean,1,1.3825,1.7555,2.182,2.332,2.6285,2.6725,2.8855,2.882,3.0575,542,2.381812
Public ISD,AUSTIN DISCOVERY SCHOOL,89.5,Kindergarten,probability_exceeding_10_total_cases,0,0,0.1355,0.357,0.386,0.393,0.3895,0.4195,0.413,0.397,202,0.28612
Public ISD,AUSTIN DISCOVERY SCHOOL,89.5,Kindergarten,total_infected_mean,1.6145,1.91,4.1485,8.181,13.4865,19.22,24.339,37.519,60.2425,113.7155,202,6.8906
Public ISD,AUSTIN ISD,83.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0.5455,0.6015,0.6065,0.6175,0.608,0.6085,0.6285,0.6125,599,0.610856
Public ISD,AUSTIN ISD,83.7,Kindergarten,total_infected_mean,1.618,3.39,9.301,21.751,43.6455,66.6635,86.917,131.5115,226.3025,436.6555,599,52.760628
Public ISD,AUSTWELL-TIVOLI ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,70,
Public ISD,AUSTWELL-TIVOLI ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,70,1
Public ISD,AVALON ISD,96,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0005,0.012,0.02,0.0235,0.0335,0.0435,0.045,347,0.004962
Public ISD,AVALON ISD,96,Kindergarten,total_infected_mean,1,1,1.4835,1.847,2.057,2.1205,2.1945,2.325,2.437,2.447,347,1.92848
Public ISD,AVERY ISD,87.5,Kindergarten,probability_exceeding_10_total_cases,0,0,0.3015,0.455,0.489,0.4795,0.4805,0.5195,0.488,0.504,304,0.462344
Public ISD,AVERY ISD,87.5,Kindergarten,total_infected_mean,1.6335,2.6125,5.5935,12.1555,22.8285,32.783,44.1915,71.2695,112.3235,228.246,304,14.460868
Public ISD,AVINGER ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,112,
Public ISD,AVINGER ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,112,1
Public ISD,AZLE ISD,92.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.173,0.2245,0.2495,0.2435,0.253,0.266,0.25,608,0.2353
Public ISD,AZLE ISD,92.1,Kindergarten,total_infected_mean,1,1.3705,2.691,4.4455,6.2285,8.144,9.0445,11.3525,15.925,21.7895,608,7.055996
Private School,Abilene Christian School,89.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0.15,0.333,0.3705,0.3975,0.3875,0.402,0.418,0.399,,0.3705
Private School,Abilene Christian School,89.7,Kindergarten,total_infected_mean,1.611,1.9295,4.3185,7.503,12.8185,18.575,23.471,33.9645,58.3915,106.6135,,12.8185
Private School,Abundant Life Christian School,77.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0.7185,0.7175,0.727,0.729,0.716,0.7255,0.7255,0.7315,,0.727
Private School,Abundant Life Christian School,77.8,Kindergarten,total_infected_mean,2.429,4.3355,16.1515,38.6785,77.5995,116.9285,152.7625,232.025,386.405,779.289,,77.5995
Private School,Acton Academy Cy-Fair,50,Kindergarten,probability_exceeding_10_total_cases,0,0.8835,0.887,0.8815,0.8825,0.8985,0.8915,0.8825,0.8865,0.8915,,0.8825
Private School,Acton Academy Cy-Fair,50,Kindergarten,total_infected_mean,4.4175,11.603,44.4505,110.27,220.647,336.865,445.647,661.6665,1107.726,2227.7855,,220.647
Private School,Acton Academy Northwest Austin,63,Kindergarten,probability_exceeding_10_total_cases,0,0.741,0.834,0.834,0.8475,0.85,0.838,0.8555,0.835,0.841,,0.8475
Private School,Acton Academy Northwest Austin,63,Kindergarten,total_infected_mean,3.3615,8.313,30.867,77.436,156.3395,235.578,309.0035,473.12,769.731,1550.276,,156.3395
Private School,Acton Leadership Academy of Creekside,50,Kindergarten,probability_exceeding_10_total_cases,0,0.8835,0.887,0.8815,0.8825,0.8985,0.8915,0.8825,0.8865,0.8915,,0.8825
Private School,Acton Leadership Academy of Creekside,50,Kindergarten,total_infected_mean,4.4175,11.603,44.4505,110.27,220.647,336.865,445.647,661.6665,1107.726,2227.7855,,220.647
Private School,Acton Leadership Academy of Magnolia,36.4,Kindergarten,probability_exceeding_10_total_cases,0,0.912,0.9205,0.914,0.918,0.921,0.919,0.9175,0.9225,0.915,,0.918
Private School,Acton Leadership Academy of Magnolia,36.4,Kindergarten,total_infected_mean,6.4775,14.6845,58.9955,145.41,291.996,439.379,584.5385,875.329,1466.784,2909.641,,291.996
Private School,Adinvita,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Adinvita,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Advent Ridge Academy,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Advent Ridge Academy,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Alcuin School,94,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0505,0.104,0.1095,0.1255,0.1395,0.1345,0.136,,0.104
Private School,Alcuin School,94,Kindergarten,total_infected_mean,1,1.374,1.9975,2.7965,3.499,3.767,4.2425,4.7505,5.011,5.9965,,3.499
Private School,All Saints Catholic School Dallas,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,All Saints Catholic School Dallas,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,All Saints Catholic School Fort Worth,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,All Saints Catholic School Fort Worth,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,All Saints Episcopal School Beaumont,95.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0145,0.0485,0.0615,0.0575,0.071,0.0765,0.095,,0.0485
Private School,All Saints Episcopal School Beaumont,95.1,Kindergarten,total_infected_mean,1,1.3915,1.698,2.3145,2.5955,2.7695,2.7675,3.063,3.2595,3.7425,,2.5955
Private School,All Saints Episcopal School Fort Worth,94.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0155,0.0575,0.0745,0.0775,0.092,0.092,0.099,,0.0575
Private School,All Saints Episcopal School Fort Worth,94.9,Kindergarten,total_infected_mean,1,1.391,1.9535,2.3475,2.7985,3.046,3.1885,3.4065,3.628,3.974,,2.7985
Private School,All Saints Episcopal School Lubbock,97,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.001,0.007,0.0065,0.01,0.0095,0.014,,0.001
Private School,All Saints Episcopal School Lubbock,97,Kindergarten,total_infected_mean,1,1,1.2975,1.561,1.6465,1.693,1.725,1.7605,1.7255,1.821,,1.6465
Private School,All Saints Episcopal School Tyler,88,Kindergarten,probability_exceeding_10_total_cases,0,0,0.2445,0.4195,0.4455,0.4775,0.4765,0.4635,0.467,0.4725,,0.4455
Private School,All Saints Episcopal School Tyler,88,Kindergarten,total_infected_mean,1.6125,1.91,4.99,10.3125,19.5515,30.3355,39.626,56.927,97.4585,195.277,,19.5515
Private School,Allen Academy,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Allen Academy,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Alpha Omega Academy,87.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0.314,0.49,0.4885,0.5165,0.5065,0.525,0.509,0.518,,0.4885
Private School,Alpha Omega Academy,87.1,Kindergarten,total_infected_mean,1.619,2.5695,5.6745,13.395,24.082,37.7025,48.8575,76.9035,124.845,252.125,,24.082
Private School,Alpha School,80,Kindergarten,probability_exceeding_10_total_cases,0,0,0.644,0.67,0.68,0.681,0.686,0.6915,0.697,0.7005,,0.68
Private School,Alpha School,80,Kindergarten,total_infected_mean,1.6095,3.3515,12.539,31.559,63.813,96.0335,128.7475,195.295,328.0235,659.184,,63.813
Private School,Alpine Christian School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Alpine Christian School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Angelo Catholic School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Angelo Catholic School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Annapolis Christian Academy,82.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0.5875,0.6005,0.6315,0.6435,0.621,0.6255,0.635,0.6505,,0.6315
Private School,Annapolis Christian Academy,82.8,Kindergarten,total_infected_mean,1.6315,3.3985,10.3685,23.214,48.942,74.436,96.258,145.054,245.6675,502.638,,48.942
Private School,Annunciation Orthodox School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Annunciation Orthodox School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Arcadia First Baptist Christian School,86.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0.397,0.509,0.514,0.535,0.5185,0.5245,0.531,0.5205,,0.514
Private School,Arcadia First Baptist Christian School,86.7,Kindergarten,total_infected_mean,1.583,2.558,6.64,14.2995,26.4835,41.6395,52.6255,81.5185,136.847,266.9675,,26.4835
Private School,Ascension Episcopal School Houston,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Ascension Episcopal School Houston,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Ascent: An Acton Academy,83.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0.5495,0.585,0.624,0.636,0.6335,0.6185,0.6315,0.6225,,0.624
Private School,Ascent: An Acton Academy,83.3,Kindergarten,total_infected_mean,1.621,3.3305,9.3105,21.8545,46.6405,71.1955,93.742,139.0745,234.7905,463.0785,,46.6405
Private School,Assumption Catholic School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Assumption Catholic School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Athens Christian Preparatory Academy,60,Kindergarten,probability_exceeding_10_total_cases,0,0.756,0.8635,0.853,0.854,0.8625,0.858,0.859,0.859,0.8575,,0.854
Private School,Athens Christian Preparatory Academy,60,Kindergarten,total_infected_mean,3.3785,8.4475,34.58,85.248,170.521,258.2995,342.559,514.3695,857.1945,1711.2235,,170.521
Private School,Austin International School,96.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.0035,0.0085,0.01,0.017,0.0135,0.015,,0.0035
Private School,Austin International School,96.7,Kindergarten,total_infected_mean,1,1,1.471,1.6915,1.713,1.8065,1.8825,1.8915,1.8545,1.9385,,1.713
Private School,Austin Jewish Academy,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Austin Jewish Academy,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Austin Montessori School,92.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1695,0.213,0.2265,0.245,0.244,0.252,0.2545,,0.213
Private School,Austin Montessori School,92.3,Kindergarten,total_infected_mean,1,1.3775,2.707,4.2705,5.8965,7.0895,8.6015,10.614,14.1555,20.6645,,5.8965
Private School,Austin Peace Academy,96.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0015,0.0145,0.018,0.0175,0.0245,0.0325,0.035,,0.0145
Private School,Austin Peace Academy,96.3,Kindergarten,total_infected_mean,1,1,1.48,1.7865,1.9865,2.0465,1.926,2.2145,2.1935,2.318,,1.9865
